region,life_expectancy_total,life_expectancy_male,life_expectancy_female,total_deaths,under5_mortality
Vanuatu,65.7,62.5,69.4,2.3,20.7
Southeast Asia,71.0,67.9,74.3,5511.6,21.5
Cambodia,68.2,65.2,71.0,129.2,30.7
Indonesia,69.5,67.3,72.0,2198.9,24.1
Laos,67.8,65.4,70.4,51.0,40.2
Malaysia,72.9,70.4,75.7,224.5,6.2
Maldives,79.4,78.1,81.2,1.6,12.5
Mauritius,73.4,70.1,76.9,13.2,12.6
Myanmar,67.6,64.1,71.2,510.8,39.2
Philippines,68.3,64.8,72.2,880.2,21.0
Seychelles,73.4,70.8,76.5,0.9,13.3
Sri Lanka,76.6,73.4,79.7,158.4,6.0
Thailand,76.3,72.4,80.3,625.5,7.4
Timor-Leste,68.6,66.9,70.5,9.5,35.2
Viet Nam,74.0,69.9,78.3,701.4,11.1
Sub-Saharan Africa,61.3,58.7,64.1,9434.4,70.7
Central sub-Saharan Africa,61.0,58.4,63.8,1093.4,58.3
Angola,61.0,58.4,63.7,249.5,54.7
Central African Republic,51.4,48.2,55.2,73.7,109.7
Congo (Brazzaville),61.8,60.6,63.1,46.3,39.2
DR Congo,61.6,59.0,64.5,697.9,57.8
Equatorial Guinea,61.5,59.3,63.7,10.5,46.3
Gabon,63.9,60.9,67.3,15.5,32.5
Eastern sub-Saharan Africa,61.5,58.9,64.5,3333.9,57.9
Burundi,62.2,60.0,64.9,97.4,63.9
Comoros,66.5,64.8,68.2,5.9,48.0
Djibouti,64.3,62.3,67.0,9.3,37.2
Eritrea,61.7,58.7,64.8,50.8,45.5
Ethiopia,64.5,62.0,67.5,736.6,52.2
Kenya,63.9,61.0,67.2,357.2,36.6
Madagascar,62.1,60.5,63.9,206.2,57.6
Malawi,58.7,55.8,62.1,173.0,52.1
Mozambique,56.4,53.4,59.9,306.6,62.2
Rwanda,65.0,62.3,67.5,92.1,41.4
Somalia,53.6,50.7,56.9,237.8,92.3
South Sudan,55.0,52.6,58.1,114.8,128.6
Uganda,61.2,57.8,64.9,329.4,64.6
Tanzania,63.5,61.3,65.9,439.7,52.4
Zambia,58.3,55.8,61.4,174.8,46.1
Southern sub-Saharan Africa,59.3,55.9,63.0,1036.4,43.6
Botswana,59.7,57.0,62.9,28.1,40.6
Eswatini,52.5,49.5,56.1,17.6,42.1
Lesotho,48.5,45.3,52.1,37.9,78.8
Namibia,60.1,56.5,64.0,26.8,33.4
South Africa,61.0,57.4,64.8,733.4,38.6
Zimbabwe,55.0,52.2,58.0,192.6,52.7
Western sub-Saharan Africa,62.1,59.9,64.5,3970.8,86.3
Benin,62.9,60.1,65.9,104.8,77.3
Burkina Faso,60.1,57.4,63.0,218.4,95.5
Cabo Verde,73.2,69.0,77.8,3.7,15.0
Cameroon,60.8,58.5,63.6,260.7,65.5
Chad,58.3,56.5,60.5,181.9,111.8
Côte d'Ivoire,62.7,60.3,65.8,208.6,68.5
The Gambia,63.2,60.9,65.9,17.6,44.2
Ghana,64.6,61.7,67.4,249.8,43.4
Guinea,60.1,58.2,62.2,126.8,86.8
Guinea-Bissau,58.1,55.1,61.3,18.4,61.8
Liberia,62.7,61.6,64.1,39.5,66.9
Mali,59.1,57.3,61.1,233.9,97.7
Mauritania,69.2,68.4,70.1,25.0,33.7
Niger,61.8,60.1,63.5,206.4,88.7
Nigeria,62.8,60.7,65.0,1821.0,96.3
São Tomé and Príncipe,70.4,68.6,72.2,1.1,17.8
Senegal,65.9,63.7,68.2,111.0,40.5
Sierra Leone,60.6,59.2,62.1,79.5,97.2
Togo,63.1,60.2,66.0,62.8,56.7
