lancet_label,sex,expected_le_1950,observed_le_1950,diff_1950,expected_le_1990,observed_le_1990,diff_1990,expected_le_2000,observed_le_2000,diff_2000,expected_le_2010,observed_le_2010,diff_2010,expected_le_2021,observed_le_2021,diff_2021,sdi_value
Ireland,male,68.1026032878918,65.00080492040699,3.101798367484804,71.4597755817383,72.22495936982318,-0.7651837880848831,73.7887308281647,74.02323188564813,-0.23450105748342764,75.9291482723333,78.5556055013666,-2.6264572290333064,77.753340252933,80.77693505646084,-3.0235948035278426,0.873753849787408
Israel,female,71.7068614150941,72.73834871372993,-1.031487298635838,77.4017895401842,78.79126333685481,-1.3894737966706145,78.6115528493146,80.63827339472554,-2.0267205454109387,79.42454969997,83.41169078007353,-3.9871410801035267,80.5938426661382,85.0958699511706,-4.502027285032398,0.809011651557631
Israel,male,66.5417238917645,72.21707197341165,-5.675348081647144,71.13583971647,75.46730733801196,-4.331467621541961,72.5504177679333,76.76326028485092,-4.212842516917618,73.5750688462647,80.05106588806719,-6.475997041802486,75.085271077521,81.19688022865029,-6.1116091511292865,0.809011651557631
Italy,female,72.2051812457713,68.88236017228736,3.3228210734839365,77.2583618585503,80.25906068539891,-3.0006988268486054,78.6115528493146,82.43875556567826,-3.827202716363658,79.5909130566986,84.3953927806225,-4.8044797239239045,80.4280765833013,84.8817737685675,-4.4536971852661935,0.805773533613512
Italy,male,66.9129909472015,65.2109071336874,1.7020838135140934,70.9810210082652,73.72274353555363,-2.741722527288431,72.5504177679333,76.49606354114847,-3.945645773215176,73.7887308281647,79.33467809788513,-5.545947269720429,74.8710852272848,80.32035721914139,-5.449271991856591,0.805773533613512
Luxembourg,female,75.6200752848877,68.22625684259577,7.393818442291931,79.5909130566986,78.7458398722499,0.8450731844486938,80.9225798656503,81.3717159395265,-0.4491360738761898,82.0442883633757,83.39643044190186,-1.3521420785261569,82.9707513626629,84.87720750318883,-1.9064561405259326,0.884428955125693
Luxembourg,male,69.4313226958455,63.479195890108606,5.952126805736889,73.7887308281647,71.62246215781926,2.1662686703454455,75.5097766620838,75.00481553874587,0.504961123337921,76.9552576733709,78.49364958885197,-1.5383919154810712,78.1448257934515,80.3608598307884,-2.2160340373368967,0.884428955125693
Malta,female,67.8714481366511,67.41258726274502,0.458860873906076,75.8867615917168,78.74448725962422,-2.8577256679074168,77.4017895401842,81.14181673794056,-3.740027197756362,78.7710642760587,83.29235388355586,-4.521289607497167,80.261372930289,84.06028842099681,-3.798915490707813,0.801585033998971
Malta,male,63.4145010887102,64.6151455959475,-1.2006445072372927,69.6571215725685,74.05983074561891,-4.402709173050411,71.13583971647,76.26500672614178,-5.129167009671775,72.7483783980807,78.95030784566296,-6.201929447582259,74.655606397288,81.29881918803639,-6.643212790748393,0.801585033998971
Monaco,female,76.8365035323037,68.12118960928639,8.715313923017305,81.7283348665087,81.03104148023756,0.6972933862711415,82.5115076344357,81.36715857505811,1.1443490593775891,83.1220743794233,81.69069000506241,1.4313843743608885,83.7186510337139,81.38840590345343,2.330245130260465,0.908262830989574
Monaco,male,70.5434144012477,64.03215605540629,6.511258345841412,76.5486278863018,74.7454581732028,1.8031697130989954,77.5557115600422,75.8570556276168,1.698655932425396,78.3386866383648,77.09875908360382,1.2399275547609818,79.1016313478905,76.32243516131143,2.779196186579071,0.908262830989574
Netherlands,female,75.7533094834353,72.85502203898301,2.8982874444522935,80.0938300555705,80.13273212226726,-0.03890206669674967,81.2476223708153,80.67044319603755,0.57717917477774,82.2009195502738,82.84055501772761,-0.6396354674538145,83.1220743794233,83.22682622439025,-0.10475184496695533,0.888464256397732
Netherlands,male,69.5429748527881,70.6282697973826,-1.0852949445944944,74.4388920061915,73.82861142917173,0.6102805770197648,75.9291482723333,75.54451410129268,0.3846341710406165,77.1566723067758,78.79958808238023,-1.642915775604422,78.3386866383648,79.79843265306803,-1.459746014703228,0.888464256397732
Norway,female,75.8867615917168,73.71710898137107,2.169652610345736,80.0938300555705,80.12889536174298,-0.035065306172469946,81.7283348665087,81.55735450540676,0.1709803611019396,82.8185511840716,83.38318597451853,-0.5646347904469309,83.8656300180755,84.87538143058397,-1.0097514125084643,0.916132810119013
Norway,male,69.6571215725685,70.63270621810696,-0.9755846455384614,74.4388920061915,73.65455345623295,0.784338549958548,76.5486278863018,76.02806591485512,0.520561971446682,77.9497109987962,78.95888030713505,-1.0091693083388407,79.2892534000676,81.66337130826956,-2.374117908201967,0.916132810119013
Portugal,female,68.1073131895351,60.944982588656245,7.16233060087886,74.4138015454996,77.59390662363394,-3.1801050781343463,76.0205453806043,80.07318661770829,-4.052641237103984,77.2583618585503,83.1255173920832,-5.867155533532895,78.453875169857,84.43785792430198,-5.98398275444498,0.744151850665712
Portugal,male,63.6190572544835,55.89258320807795,7.726474046405549,68.5009530910306,70.62696552906371,-2.126012438033115,69.7739726574167,73.25078506766903,-3.4768124102523217,70.9810210082652,77.02527935933946,-6.044258351074262,72.3567032934546,78.50007341458607,-6.143370121131468,0.744151850665712
San Marino,female,75.4869414194759,76.23286750073592,-0.7459260812600235,80.7586754387809,82.37006375076685,-1.611388311985948,82.2009195502738,84.50863086432568,-2.307711314051886,82.8185511840716,87.56947627453249,-4.750925090460896,82.9707513626629,88.07022136170345,-5.099469999040551,0.888005473958106
San Marino,male,69.3219441760672,69.40338085179913,-0.08143667573192204,75.2981671285504,76.61023526480544,-1.3120681362550357,77.1566723067758,78.4181878638744,-1.2615155570985905,77.9497109987962,80.50255047295195,-2.5528394741557463,78.1448257934515,84.36604588405332,-6.221220090601818,0.888005473958106
Spain,female,69.0099795820207,64.4967833968209,4.513196185199803,75.3538195667091,80.43519334780846,-5.081373781099359,76.9758259836149,82.8679929175559,-5.892166933940999,78.2980556451255,85.00329524173439,-6.705239596608891,79.259242862653707,85.7336698954766,-6.474427032822888,0.769283697979998
Spain,male,64.3890175086043,59.63460109486611,4.754416413738184,69.2146055187716,73.29167858565015,-4.07707306687854,70.6849505104316,75.91605945790037,-5.231108947468769,72.1674618402408,78.93835507452447,-6.770893234283662,73.3638357795996,79.93073099389028,-6.566895214290682,0.769283697979998
