lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Malawi,52.1,43,62.7,-5.4,-6.4,-4.5,0.46,0.41,0.5,0.31,0.27,0.36,55.8,53.7,57.7,62.1,59.5,64.5,58.7,56.7,60.6,173,153.5,195.5,2.6,2.2,3.1,8117.265248956625,42969.146763831865
Mozambique,62.2,49.4,79.3,-4.5,-5.7,-3.3,0.5,0.45,0.56,0.33,0.28,0.38,53.4,51,55.5,59.9,57.4,62.4,56.4,54,58.6,306.6,268.1,350.3,6.1,4.9,7.4,8878.77632442108,54457.14372429843
Rwanda,41.4,33.7,49.8,-5.9,-6.9,-4.9,0.3,0.26,0.34,0.21,0.17,0.24,62.3,60,64.3,67.5,65.2,69.7,65,62.7,67.1,92.1,79.4,107.1,1.1,0.9,1.3,2301.9264674613582,19493.631540679595
Somalia,92.3,75.9,112.5,-2.6,-3.5,-1.6,0.53,0.45,0.61,0.36,0.3,0.43,50.7,47.1,54,56.9,53.6,59.9,53.6,50.1,56.9,237.8,196.7,287.6,5.3,4.5,6.4,24617.79751898952,41224.775016061205
South Sudan,128.6,103.4,159.2,-0.8,-1.8,0.3,0.4,0.33,0.48,0.28,0.22,0.35,52.6,47.9,56.7,58.1,53.6,62,55,50.5,59.1,114.8,92.3,143.6,2.5,2.1,3,9751.533019336215,12046.810485241462
Uganda,64.6,50.6,83,-3.6,-4.8,-2.4,0.38,0.32,0.43,0.23,0.19,0.27,57.8,55.3,60.3,64.9,62.2,67.3,61.2,58.7,63.7,329.4,282.8,381.8,6.1,5.1,7.3,15780.86312332359,57778.99411412784
Tanzania,52.4,42.4,65.6,-4.2,-5.2,-3.1,0.31,0.28,0.35,0.23,0.19,0.26,61.3,59.2,63.1,65.9,63.8,67.8,63.5,61.4,65.3,439.7,390.1,497.8,6.9,6,8,38449.44824734763,88570.93443115454
Zambia,46.1,36.5,58.1,-5.4,-6.5,-4.2,0.47,0.4,0.53,0.33,0.28,0.38,55.8,53,58.6,61.4,58.4,64.2,58.3,55.4,61,174.8,144.9,206.7,2.5,2,3,14446.493848191922,48645.11182029602
Southern sub-Saharan Africa,43.6,36.2,53.2,-2.8,-3.7,-1.8,0.47,0.45,0.49,0.31,0.3,0.33,55.9,54.7,57,63,61.8,63.9,59.3,58.2,60.3,1036.4,989.1,1089.7,6.9,6.1,7.8,155173.84171903064,297465.0484802943
Botswana,40.6,30.3,53.9,-2.8,-4.1,-1.4,0.45,0.4,0.51,0.32,0.27,0.36,57,55,58.9,62.9,60.9,65,59.7,58,61.6,28.1,24.7,31.3,0.1,0.1,0.2,1045.2752307595188,10041.687673135171
Eswatini,42.1,33.4,53.8,-3.9,-5,-2.7,0.66,0.59,0.73,0.46,0.39,0.54,49.5,46.9,52.2,56.1,53,59.2,52.5,49.6,55.5,17.6,14.6,20.9,0.2,0.1,0.2,2369.91156260813,6109.577242582456
Lesotho,78.8,64.6,94.5,-1,-2,-0.1,0.73,0.67,0.78,0.53,0.46,0.6,45.3,43.5,47.2,52.1,49.7,54.6,48.5,46.5,50.5,37.9,33,42.9,0.3,0.3,0.4,3022.6821885534696,11347.932158591144
Namibia,33.4,26.1,43,-3.3,-4.4,-2,0.47,0.41,0.53,0.29,0.25,0.35,56.5,53.8,58.9,64,61.3,66.5,60.1,57.4,62.5,26.8,22.9,31.4,0.2,0.2,0.2,1979.3990231492858,8775.95517985318
South Africa,38.6,31.9,47.1,-3.3,-4.2,-2.3,0.44,0.42,0.46,0.28,0.27,0.3,57.4,56.6,58.3,64.8,64,65.5,61,60.3,61.6,733.4,712.1,754,3.8,3.4,4.3,130433.31148926573,203825.5996853362
Zimbabwe,52.7,43.6,64.5,-1.9,-2.9,-0.9,0.56,0.51,0.62,0.41,0.36,0.47,52.2,49.7,54.5,58,55.5,60.4,55,52.5,57.3,192.6,166.9,222.1,2.2,1.9,2.6,16323.262224694488,57364.296540796124
Western sub-Saharan Africa,86.3,73.5,100.9,-3.2,-3.9,-2.5,0.29,0.26,0.32,0.21,0.18,0.23,59.9,57.6,61.9,64.5,62.5,66.3,62.1,59.9,63.8,3970.8,3575.2,4509,89,80.2,99.2,274424.3112169346,468172.76467315474
Benin,77.3,62.8,95.2,-2.9,-3.9,-1.9,0.29,0.26,0.34,0.19,0.16,0.22,60.1,57.8,62.1,65.9,63.5,68,62.9,60.5,65,104.8,92.8,120.2,2.3,2,2.6,3930.9638696874135,12824.33587185866
Burkina Faso,95.5,77.9,117.4,-3,-4,-2,0.33,0.29,0.37,0.21,0.18,0.25,57.4,54.9,59.6,63,60.7,65.1,60.1,57.6,62.3,218.4,192,249.3,4.8,4.2,5.4,15192.144268906362,25071.753355096247
Cabo Verde,15,11.3,19.7,-5.8,-7.3,-4.2,0.2,0.17,0.25,0.08,0.07,0.1,69,66.8,71.2,77.8,75.8,79.8,73.2,71.1,75.4,3.7,3.1,4.2,0,0,0,185.9700082484533,239.1933753237909
Cameroon,65.5,54.3,77.6,-3.2,-4.1,-2.3,0.36,0.31,0.42,0.26,0.21,0.31,58.5,55.7,60.8,63.6,60.6,66.1,60.8,58,63.2,260.7,225.1,307.6,4.9,4.2,5.6,15919.869089265905,45462.982233869
Chad,111.8,94.6,133.7,-2.3,-3.2,-1.4,0.33,0.28,0.39,0.25,0.2,0.3,56.5,52.5,59.8,60.5,56.9,63.5,58.3,54.5,61.5,181.9,152.6,219.9,4.9,4.3,5.8,13700.068520709454,12377.384694780192
Côte d'Ivoire,68.5,58.2,80.6,-3.4,-4.2,-2.5,0.31,0.26,0.36,0.21,0.17,0.26,60.3,57.6,62.7,65.8,63.1,68.4,62.7,59.9,65.1,208.6,180.7,243.9,4.2,3.6,4.8,18778.41474424562,24087.960560559408
The Gambia,44.2,35.3,55.4,-4,-5.1,-2.9,0.34,0.29,0.39,0.24,0.19,0.28,60.9,58.5,63.2,65.9,63.4,68.2,63.2,60.9,65.5,17.6,15.2,20.3,0.3,0.2,0.3,2465.264467588707,2688.4490262351633
Ghana,43.4,33.6,55.5,-4,-5.2,-2.7,0.31,0.27,0.36,0.21,0.18,0.25,61.7,59.5,63.9,67.4,65,69.6,64.6,62.3,66.7,249.8,215.1,289.3,3.2,2.7,3.7,17726.37993499686,40178.380119100984
Guinea,86.8,72.7,104,-3.4,-4.3,-2.5,0.32,0.27,0.38,0.25,0.2,0.3,58.2,54.6,61.2,62.2,58.9,65.1,60.1,56.6,63,126.8,106.8,152.2,2.7,2.4,3.2,14332.010072041016,19082.16056577297
Guinea-Bissau,61.8,50.9,75.1,-4.6,-5.6,-3.6,0.45,0.38,0.53,0.31,0.25,0.37,55.1,52.4,57.7,61.3,58.8,63.8,58.1,55.6,60.7,18.4,15.8,21.2,0.3,0.3,0.5,2860.79026752586,2619.363472639796
Liberia,66.9,51.7,87.8,-4.5,-5.7,-3.1,0.28,0.24,0.34,0.23,0.19,0.29,61.6,57.7,64.8,64.1,60.1,67.4,62.7,58.9,66,39.5,32.2,49.3,0.8,0.7,1,3324.4940292345796,4468.174865996636
Mali,97.7,81.4,118.4,-3.3,-4.1,-2.3,0.32,0.28,0.36,0.25,0.22,0.3,57.3,55.1,59.2,61.1,58.8,63.2,59.1,56.8,61,233.9,208.3,265.3,5.6,5.1,6.4,20767.78358317805,36322.43973678918
Mauritania,33.7,28.3,40.2,-4.3,-5.2,-3.4,0.19,0.15,0.23,0.17,0.13,0.21,68.4,65.6,71,70.1,67.4,72.5,69.2,66.5,71.7,25,21,30.1,0.4,0.3,0.4,3347.255678205279,3227.030568929045
Niger,88.7,72.1,109.7,-4.4,-5.3,-3.4,0.28,0.23,0.33,0.21,0.17,0.26,60.1,56.3,63.4,63.5,60,66.6,61.8,58.1,65,206.4,169.9,252.7,5.7,4.7,6.7,13434.147757030352,17025.27656137476
Nigeria,96.3,81.8,113.9,-3.1,-3.9,-2.2,0.25,0.21,0.31,0.19,0.15,0.24,60.7,58,63.1,65,62.2,67.4,62.8,60.8,64.6,1821,1647.8,2033,44.7,39.6,51.1,106439.84655345973,186175.0783991212
São Tomé and Príncipe,17.8,13.5,23.2,-7.1,-8.4,-5.7,0.2,0.17,0.24,0.15,0.12,0.19,68.6,66.5,70.3,72.2,70.1,74.1,70.4,68.3,72.1,1.1,1,1.3,0,0,0,90.63861207141724,125.9061657175601
Senegal,40.5,33.9,47.9,-5.2,-6,-4.3,0.27,0.23,0.31,0.19,0.16,0.23,63.7,61.4,65.8,68.2,65.8,70.2,65.9,63.5,67.9,111,96.4,129.7,1.4,1.3,1.6,12430.92486145843,22121.460837906
Sierra Leone,97.2,77.3,121,-3.9,-5,-2.8,0.29,0.24,0.34,0.24,0.19,0.29,59.2,54.9,62.8,62.1,58.2,65.5,60.6,56.5,64.1,79.5,65.3,97.7,1.7,1.5,2.1,6108.036247870627,6081.364977349073
Togo,56.7,45.7,70.8,-3.7,-4.8,-2.6,0.33,0.28,0.39,0.21,0.18,0.26,60.2,56.6,63.2,66,62.7,69,63.1,59.6,66.2,62.8,51.4,77.5,1,0.8,1.2,3389.308651210469,7994.069284735068
