lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
New Zealand,4.8,4.3,5.4,-2.3,-2.9,-1.6,0.08,0.08,0.08,0.05,0.05,0.05,80.7,80.5,80.9,84.1,83.9,84.3,82.4,82.3,82.6,34.5,34.1,35,0,0,0,-1971.6934525099643,-149.3386230646071
High-income Asia Pacific,2.2,2,2.4,-4.1,-4.5,-3.7,0.07,0.07,0.07,0.03,0.03,0.03,81.8,81.7,81.9,87.8,87.7,87.8,84.8,84.8,84.9,1795.7,1787.5,1804,0.5,0.5,0.5,-27031.588600937073,21781.8798955663
Brunei,9.7,7.7,12.1,-0.3,-1.5,1,0.13,0.12,0.15,0.08,0.07,0.1,74.9,73.6,76,78.3,77.1,79.3,76.6,75.4,77.7,1.8,1.7,2,0,0,0,25.159065180287936,89.56350044613974
Japan,2.1,1.9,2.4,-3.5,-4.1,-2.9,0.06,0.06,0.06,0.03,0.03,0.03,82.2,82.1,82.2,88.1,88,88.2,85.2,85.1,85.2,1439,1432.9,1445.6,0.3,0.3,0.3,-28308.23239301614,7645.043489865903
South Korea,2.5,2,2.9,-4.9,-5.9,-4,0.08,0.07,0.08,0.04,0.03,0.04,80.3,80.1,80.5,86,85.9,86.2,83.2,83.1,83.4,331,325.8,336.3,0.1,0.1,0.2,1596.2189252858177,12530.066047079177
Singapore,1.7,1.4,2,-4.2,-5.2,-3.2,0.05,0.05,0.05,0.03,0.03,0.03,83.6,83.4,83.8,87.7,87.5,87.9,85.7,85.5,85.9,23.7,23.3,24.2,0,0,0,-344.73419838703995,1517.2068581750823
High-income North America,5.7,5.2,6.2,-1.7,-2.1,-1.3,0.16,0.16,0.16,0.09,0.09,0.09,74.8,74.6,74.9,80.4,80.3,80.6,77.6,77.4,77.7,3779,3746.4,3812.8,2.3,2.1,2.4,530415.9331023501,560054.8989379613
Canada,4,3.4,4.8,-1.8,-2.6,-0.9,0.09,0.09,0.09,0.05,0.05,0.05,79.5,79.4,79.7,84.1,83.9,84.2,81.8,81.7,82,310.4,306.9,314.1,0.2,0.1,0.2,37180.95614069756,32298.967228330548
Greenland,10.6,9,12.3,-3.1,-4.1,-2.3,0.2,0.17,0.23,0.12,0.11,0.14,71.4,69.7,72.7,76.9,75.7,77.9,73.8,72.4,75,0.4,0.4,0.5,0,0,0,0,42.36471719439106
USA,5.9,5.4,6.4,-1.7,-2.1,-1.2,0.17,0.16,0.17,0.09,0.09,0.09,74.3,74.1,74.4,80,79.9,80.2,77.1,77,77.2,3468.1,3435.6,3501.4,2.1,2,2.2,493234.9769616525,527713.5669924364
