lancet_label,val.pop_22_2000,lower.pop_22_2000,upper.pop_22_2000,val.pop_22_2021,lower.pop_22_2021,upper.pop_22_2021,val.pop_39_2000,lower.pop_39_2000,upper.pop_39_2000,val.pop_39_2021,lower.pop_39_2021,upper.pop_39_2021,val.pop_200_2000,lower.pop_200_2000,upper.pop_200_2000,val.pop_200_2021,lower.pop_200_2021,upper.pop_200_2021,val.pop_154_2000,lower.pop_154_2000,upper.pop_154_2000,val.pop_154_2021,lower.pop_154_2021,upper.pop_154_2021,val.popROC,lower.popROC,upper.popROC,pop_ratio
Belize,239.6,222.8,256,429.1,368.8,488.9,93.7,87.1,100.1,123.1,105.8,140.3,135.7,126.2,145,283.5,243.7,323,10.2,9.5,10.9,22.5,19.3,25.6,2.8,2.4,3.1,0.18
Cuba,11403.1,10500.5,12284.3,11269.5,9907.1,12688.1,2443,2249.7,2631.8,1777,1562.2,2000.7,7842.3,7221.5,8448.3,7721.6,6788.1,8693.6,1117.8,1029.3,1204.1,1770.9,1556.8,1993.8,-0.1,-0.3,0.2,1
Dominica,68.6,63.5,73.6,67.1,58.4,76.2,21,19.5,22.6,13.7,11.9,15.6,41.9,38.8,44.9,46.1,40.2,52.4,5.7,5.3,6.1,7.3,6.3,8.3,-0.1,-0.4,0.2,0.53
Dominican Republic,8597.5,7896.3,9249.8,11012.9,9394.5,12573.1,2991.9,2747.9,3218.8,2938.4,2506.6,3354.7,5154.2,4733.9,5545.3,7231.3,6168.7,8255.8,451.4,414.6,485.6,843.2,719.3,962.6,1.2,0.8,1.5,0.29
Grenada,103.9,95.9,112,102.6,88.9,115.6,31.9,29.4,34.4,21.8,18.9,24.6,66.1,61,71.2,71.5,61.9,80.5,5.9,5.5,6.4,9.3,8.1,10.5,-0.1,-0.4,0.2,0.43
Guyana,778.9,718.7,841.9,764.7,669.5,859.1,283.7,261.8,306.7,213.4,186.8,239.7,463.4,427.6,500.9,501.4,439,563.2,31.8,29.3,34.3,50,43.7,56.1,-0.1,-0.3,0.1,0.23
Haiti,8190,7469.2,8871.2,12864,10695.6,15179.1,3264.8,2977.5,3536.4,4352.8,3619.1,5136.1,4611.6,4205.8,4995.2,8005.2,6655.8,9445.9,313.5,285.9,339.6,506,420.7,597.1,2.1,1.7,2.6,0.12
Jamaica,2631.4,2447.3,2836.5,2799.9,2448.1,3165,839.5,780.7,904.9,583.9,510.6,660.1,1592.3,1480.8,1716.4,1946.6,1702,2200.4,199.7,185.7,215.2,269.4,235.6,304.5,0.3,0,0.5,0.46
Saint Lucia,155.1,143.7,166.5,177.5,152.1,201.6,49.1,45.4,52.7,29.7,25.4,33.7,95.7,88.6,102.7,127.3,109,144.5,10.3,9.6,11.1,20.6,17.6,23.4,0.6,0.3,0.9,0.69
Saint Vincent and the Grenadines,109.8,102,117.9,114.1,100.1,129,34.8,32.3,37.3,25,21.9,28.2,67.5,62.7,72.5,76.6,67.1,86.6,7.5,7,8.1,12.6,11,14.2,0.2,-0.1,0.4,0.5
